,Author,Bookmarks,Comments,Post stats,Tags,Title,Views
792,shulyndina,42,14.0,3.0,"['Разработка веб-сайтов', 'Программирование', 'Python', 'Django', 'Блог компании IT-People']",Интервью с python-разработчиком Александром Кошкиным о языке Python и жизни в США,"18,9k"
793,tumbler,54,4.0,7.0,"['Системы обмена сообщениями', 'Разработка веб-сайтов', 'Python', 'Django']",Философия Channels,"9,5k"
794,Crandel,123,70.0,13.0,"['Python', 'Go', 'Emacs']",Emacs как редактор кода для Python и Golang,"27,9k"
795,aglotova,94,5.0,13.0,"['Системы обмена сообщениями', 'Python', 'API', 'Блог компании Computer Science Center', 'Блог компании Stepik.org']",Stepic.org в Telegram: как мы разрабатывали бота и что из этого получилось,"18,9k"
796,ptsecurity,13,,10.0,"['Разработка веб-сайтов', 'Программирование', 'Python', 'Блог компании Positive Technologies']",Куда пойти Python’исту: Что интересного будет на конференции PyCon-2016,"5,3k"
797,synedra,163,32.0,19.0,"['Разработка игр', 'Python']",Пишем текстовую игру на Python/Ren'Py,"45,1k"
798,shulyndina,26,4.0,13.0,"['Разработка веб-сайтов', 'Программирование', 'Python', 'Django', 'Блог компании IT-People']",Интервью с автором Flask Армином Ронахером,"6,2k"
799,phpclub,14,3.0,14.0,"['Разработка веб-сайтов', 'Ruby', 'Python', 'PHP', 'Блог компании DevConf']",В эту пятницу пройдет 7-я конференция сообществ DevConf 2016,"4,4k"
800,ophermit,85,16.0,11.0,"['Программирование', 'Python', 'GitHub', 'Git']",Автоматизируем проверку кода или еще немного о pre-commit hook'ах,"10,7k"
801,shulyndina,32,12.0,7.0,"['Разработка веб-сайтов', 'Программирование', 'Python', 'Django', 'Блог компании IT-People']",Как живут и работают разработчики в Чехии: интервью с Александром Сибиряковым из Scrapinghub,"13,8k"
802,ketom_z80,133,52.0,25.0,"['Программирование', 'Python']",Автоматизируем покупку Ж/Д билетов Укрзалізниці,34k
803,shulyndina,20,1.0,5.0,"['Разработка веб-сайтов', 'Программирование', 'Python', 'Django', 'Блог компании IT-People']",PyConRu: зачем?,"5,5k"
804,shulyndina,74,5.0,11.0,"['Разработка веб-сайтов', 'Программирование', 'Python', 'Django', 'Блог компании IT-People']",Интервью с Андреем Светловым о языке Python и не только,"14,2k"
805,dayzz,73,6.0,8.0,"['Тестирование веб-сервисов', 'Разработка под e-commerce', 'Платежные системы', 'Python', 'API']","Как не дать частым релизам поломать ваше API, или пишем авто-тесты для открытого API и шлем результат в Telegram бот","12,4k"
806,lepism,75,11.0,13.0,"['Python', '.NET']",Самоконфигурирующиеся приложения,"12,6k"
807,ef_end_y,299,21.0,28.0,"['Программирование', 'Python']",Как я программирую на Python,"37,1k"
808,Vispiano,230,15.0,20.0,"['Программирование', 'Python']",Пишем свой канал-бот для Telegram как у Хабра на Python,"36,4k"
809,DuDDiTs,108,12.0,18.0,"['Программирование', 'Python', 'C']",Встраивание PyPy кода в приложения на C,12k
810,digitman,79,89.0,25.0,"['Визуализация данных', 'Python', 'Data Mining']",World of Tanks: от чего же зависит винрейт танков?,"46,4k"
811,ph_piter,116,10.0,13.0,"['Профессиональная литература', 'Программирование', 'Python', 'Data Mining', 'Блог компании Издательский дом «Питер»']",Как использовать Python для «выпаса» ваших неструктурированных данных,15k
812,ophermit,16,4.0,3.0,"['Разработка под Windows', 'Разработка под MacOS', 'Python']",Расширяем фреймворк Kivy пакетом XPopup (Часть 2-я),"2,8k"
813,CooperMaster,58,3.0,18.0,"['Разработка для интернета вещей', 'Python', 'Блог компании Intel']",Шлюзы Intel для интернета вещей: отправка сообщений MQTT-брокеру с использованием Python,"12,9k"
814,ndrwK,98,7.0,11.0,"['Программирование микроконтроллеров', 'SQLite', 'Python', 'C']",Система сбора измерений на примере метеостанции,"10,6k"
815,redfenix,41,14.0,13.0,"['Параллельное программирование', 'Занимательные задачки', 'Python', 'Open source', 'MySQL']","Статистика распределения доменов по AS, IP, NS, MX и прочим параметрам",7k
816,shulyndina,11,2.0,11.0,"['Программирование', 'Python', 'Django', 'Блог компании IT-People']","Предварительная программа PyCon Russia готова. Выступят докладчики из США, Англии, Франции, Чехии, Украины и России","3,7k"
817,IlyasR,110,18.0,15.0,"['Twisted', 'Python', 'Asterisk']",Запись входящих звонков,"18,9k"
818,HeaTTheatR,112,15.0,14.0,"['Разработка под Android', 'Разработка мобильных приложений', 'Python']",Осторожно — Бульдозер (сборка apk пакетов в Kivy),"18,4k"
819,ophermit,53,10.0,13.0,"['Разработка под Windows', 'Разработка под MacOS', 'Python']",Расширяем фреймворк Kivy пакетом XPopup (Часть 1-я),8k
820,kpimaker,108,3.0,12.0,"['Вконтакте API', 'Python', 'Data Mining', 'API', 'Блог компании Rambler Group']",Обработка данных в iPython notebook для задач SEO,"12,1k"
821,homm,71,5.0,23.0,"['Обработка изображений', 'Высокая производительность', 'Python']",Pillow-SIMD,"6,9k"
822,pcdesign,25,3.0,1.0,"['Python', 'Perl']",API к zadarma.com на perl и python,"4,7k"
823,OneManRevolution,229,97.0,6.0,['Python'],Python: Мышление программиста,"46,9k"
824,Ontaelio,66,10.0,9.0,"['Машинное обучение', 'Python', 'Блог компании Skyeng']",Может ли машина научить английскому языку?,15k
825,DuDDiTs,73,61.0,26.0,"['Программирование', 'Python']",Удаляйте свой мертвый код,"21,5k"
826,NeverWalkAloner,104,9.0,12.0,"['Криптография', 'Информационная безопасность', 'Python', 'Open source', 'Блог компании Virgil Security, Inc.']",ЭЦП стран СНГ на Python,"10,8k"
827,galvanom,335,10.0,32.0,"['Обработка изображений', 'Алгоритмы', 'Python']",Распознаем лица на фото с помощью Python и OpenCV,"70,3k"
828,HeaTTheatR,222,20.0,18.0,"['Разработка мобильных приложений', 'Python']",Змеиный фрукт или фруктовый Питон?,"24,6k"
829,Crandel,118,31.0,17.0,['Python'],Тестируем aiohttp с помощью простого чата,"30,7k"
830,WarmongeR,4,3.0,7.0,"['Разработка мобильных приложений', 'Разработка веб-сайтов', 'Программирование', 'Python']",PyNSK #8 — майская встреча Новосибирского Python сообщества,"1,6k"
831,Ockonal,217,107.0,29.0,"['Разработка веб-сайтов', 'Программирование', 'Python']",Собираем базу аудиокниг для удобной фильтрации,"28,8k"
832,ashchuk,92,9.0,11.0,"['Глобальные системы позиционирования', 'Python', 'Open source']",RTKLib + Python + Google Maps JS API. Делаем свой навигатор,"16,5k"
833,zizop,10,1.0,1.0,"['Ruby', 'Python', 'PHP', 'JavaScript', 'Блог компании DevConf']",DevConf-2016: программа мастер-классов,"1,8k"
834,crypby,112,9.0,11.0,['Python'],Использование python библиотеки Exscript для работы с оборудованием Cisco и Huawei по SSH,"12,7k"
835,zizop,4,4.0,4.0,"['Ruby', 'Python', 'PHP', 'JavaScript', 'Блог компании DevConf']",DevConf-2016: программа конференции,"2,5k"
836,ianbrode,11,4.0,8.0,"['Python', 'Блог компании Rambler Group']","Moscow Python Meetup №35 (23 мая, 19:00)","3,2k"
837,Mayflower,57,15.0,,"['Реверс-инжиниринг', 'Python', 'API']",Используем недокументированное API сайта captionbot.ai,"8,4k"
838,feriat,141,40.0,57.0,"['Визуализация данных', 'Python', 'Data Mining']",Meduza.io: а как же лайки?,"45,7k"
839,tumbler,80,18.0,4.0,"['Поисковые технологии', 'Sphinx', 'Python']",Чем заменить ELK для просмотра логов?,"13,9k"
840,veveve,165,60.0,30.0,"['Высокая производительность', 'Python']",Вышел uvloop — продвинутая реализация цикла событий для asyncio в Python,"25,1k"
841,komissarex,169,58.0,40.0,"['Программирование', 'Python', 'Open source']","Python: язык программирования, созданный сообществом","37,7k"
842,alekseyspb,34,2.0,19.0,['Python'],Piter Py #3 — личные впечатления,"7,1k"
843,Wargaming,57,3.0,9.0,"['SQL', 'Python', 'PostgreSQL', 'Erlang/OTP', 'Блог компании Wargaming']",Мартовский Python Meetup: Python VS Erlang и возможности PostgreSQL,"9,8k"
844,Tkachev_KV,65,7.0,12.0,"['Машинное обучение', 'Python']",Расширение функциональных возможностей Splunk – это просто,"8,9k"
845,Highstaker,42,9.0,6.0,['Python'],cx_Freeze + virtualenv = баги и зигзаги,"5,2k"
846,ph_piter,210,10.0,12.0,"['Профессиональная литература', 'Программирование', 'Машинное обучение', 'Python', 'Блог компании Издательский дом «Питер»']",Как я писал книгу 'Python Machine Learning',"30,9k"
847,EgorLyutov,96,16.0,10.0,"['Python', 'Django']",Разработка на Django под Windows с помощью Docker-machine,10k
848,ianbrode,10,2.0,9.0,"['Python', 'Блог компании Rambler Group']",Moscow Python Meetup №34 (27 апреля),"3,6k"
849,kastrulka_cox,113,234.0,53.0,"['Информационная безопасность', 'Python']",Как стать IT-принцессой,"52,4k"
850,XaocCPS,38,14.0,5.0,"['Python', 'Microsoft Azure', 'Django', 'Блог компании Microsoft']",Развертывание стека Django на Ubuntu в облаке Microsoft Azure,"5,5k"
851,WarmongeR,6,,5.0,"['Тестирование IT-систем', 'Разработка веб-сайтов', 'Программирование', 'Python']",PyNSK #7 — апрельская встреча Новосибирского Python сообщества,"2,5k"
852,alizar,63,8.0,12.0,"['Программирование', 'Python']",Kite: контекстные подсказки и автодополнение при написании кода,"9,3k"
853,FantomNotaBene,118,5.0,11.0,"['Обработка изображений', 'Python']",Разделение отсканированных вместе фотографий (Python 3 + OpenCV3),"8,9k"
854,vabolshakov,129,75.0,18.0,"['Программирование', 'Ruby', 'Python', 'PHP', 'JavaScript']",Сравнение языков программирования относительно работы на фриланс-бирже upwork.com + опрос,"61,7k"
855,alexhouse,118,7.0,8.0,"['Python', 'API']",Пишем бота Slack для получения комментариев из VK на Python,"16,1k"
856,mikkab,97,7.0,18.0,"['Разработка робототехники', 'Ненормальное программирование', 'Python']",Разработка для коптеров,"12,9k"
857,brainhack,85,6.0,11.0,"['Программирование', 'Алгоритмы', 'Python']",Что такое грамматическая эволюция + легкая реализация,"8,6k"
858,HeaTTheatR,121,23.0,6.0,['Python'],Плагины в кармане или перочинный ножик в программе,"12,5k"
859,grigly,34,1.0,10.0,"['Совершенный код', 'Разработка систем связи', 'Python', 'JavaScript', 'Asterisk']",Действительно полезное приложение для Digium телефонов,"6,2k"
860,LeonExt,19,5.0,6.0,"['Python', 'GitHub']",Lambdify — новый взгляд на работу с AWS Lambda,"5,5k"
861,eyeofhell,14,27.0,11.0,"['Разработка веб-сайтов', 'Программирование', 'Python', 'Блог компании Voximplant']","Пять причин, почему мы отказались от русского перевода конференции “Piter Py”","10,4k"
862,balamut108,78,31.0,1.0,"['Программирование', 'Python', 'Open source']",Производственный календарь на Python,"13,7k"
863,Icebeer,134,15.0,17.0,"['Python', 'PostgreSQL']",Чтение больших объемов данных в Python/Postgresql,"15,5k"
864,ajaxtpm,121,6.0,45.0,"['Программирование', 'Алгоритмы', 'Python', 'Google API']",Разрушители мифов: Автоматическое решение Google Recaptcha,"28,1k"
865,shulyndina,19,6.0,11.0,"['Программирование', 'Python', 'Django', 'Блог компании IT-People']",PyCon Russia переезжает в Москву,"7,2k"
866,PavelMSTU,49,26.0,23.0,"['Ненормальное программирование', 'Машинное обучение', 'Криптография', 'Информационная безопасность', 'Python']",Стеганография в акроконструкциях. Алгоритм DANTSOVA,"12,9k"
867,MagisterLudi,35,5.0,1.0,"['Разработка под Linux', 'Разработка веб-сайтов', 'Python', 'Блог компании Edison']",В помощь DevOps: сборщик прошивок для сетевых устройств на Debian за 1008 часов,"3,7k"
868,yorko,186,39.0,18.0,"['Python', 'Data Mining', 'Amazon Web Services']",16 ядер и 30 Гб под капотом Вашего Jupyter за $0.25 в час,"26,5k"
869,krotos139,100,2.0,7.0,"['Визуализация данных', 'Python']",Автоматизация оформления документации,"12,3k"
870,m31,81,9.0,16.0,"['R', 'Python', 'Data Mining', 'C++', 'Блог компании FlyElephant']","Видео-туториалы запуска вычислительных задач на Python, R, С++, Octave и Blender во FlyElephant","7,8k"
871,katherins,821,32.0,39.0,"['Программирование', 'Python', 'Блог компании Computer Science Center']",Программирование на Python — курс для желающих узнать о нём больше или изучить ещё один язык программирования,"94,4k"
872,pkruglov,61,4.0,25.0,"['Python', 'Блог компании Mail.Ru Group']",Отчёт с Moscow Python Meetup 18 марта,"9,3k"
873,miptgirl,506,48.0,22.0,"['Python', 'Data Mining']",Web Scraping с помощью python,151k
874,RootHub,61,7.0,5.0,"['Разработка веб-сайтов', 'Программирование', 'Вконтакте API', 'Python', 'Django']",Разработка сервиса по загрузке альбомов,"10,6k"
875,kaploniuk,165,17.0,7.0,"['Вконтакте API', 'Python', 'API']",Отбираем валидные мобильные номера друзей VK на Python,"25,2k"
876,kAIST,113,19.0,15.0,"['Разработка веб-сайтов', 'Разработка под Linux', 'Обработка изображений', 'Python']",Делаем автономную фотобудку на raspberry pi,"19,9k"
877,miptgirl,117,7.0,43.0,"['Математика', 'Python']",Парадокс Симпсона и немного Pandas,22k
878,stacymiller,66,3.0,12.0,"['R', 'Python']",Настройка LaTeX-шаблонов для Jupyter notebook,"10,1k"
879,DataArt,71,11.0,22.0,"['Программирование', 'Rust', 'Python', 'Блог компании DataArt']",Модули расширения Python на Rust,"10,8k"
880,maria_gore,68,7.0,9.0,"['Разработка веб-сайтов', 'Visual Studio', 'Python', 'Django', 'Блог компании Microsoft']",Что есть в Visual Studio 2015 для разработчика на Python,"18,8k"
881,Roman_Kh,184,14.0,22.0,"['Машинное обучение', 'Математика', 'Python', 'Data Mining']",Линейные модели: простая регрессия,"26,2k"
882,pkruglov,14,2.0,16.0,"['Программирование', 'Python', 'Блог компании Mail.Ru Group']",Приглашаем на Moscow Python Meetup 18 марта,"5,2k"
883,miptgirl,109,9.0,20.0,['Python'],Pandasql vs Pandas для решения задач анализа данных,"12,2k"
884,spitty,356,8.0,24.0,"['Python', 'Системы обмена сообщениями', 'API']",Как можно упростить себе жизнь с помощью Telegram-бота,"54,9k"
885,estin,155,15.0,14.0,"['Программирование', 'Python']",Pomp — метафреймворк для парсинга сайтов,"13,2k"
886,Ruzin,39,8.0,,['Python'],Как я переизобрел словари в Python,"6,7k"
887,redfenix,221,51.0,33.0,"['Разработка веб-сайтов', 'Python', 'Open source', 'Блог компании LTD BeGet']",Web файловый менеджер Sprut.IO в OpenSource,"28,8k"
888,tangro,104,2.0,9.0,"['Разработка под Windows', 'Системное программирование', 'Python', 'C++', 'Блог компании Инфопульс Украина']",Хуки — это просто (часть 3),"15,6k"
889,Tanner,50,22.0,9.0,"['Разработка веб-сайтов', 'Python', 'Django']",Собственный модуль settings,"7,7k"
890,alexkuku,160,5.0,18.0,['Python'],Фоновое выполнение ячеек в IPython Notebook,"10,8k"
891,beduin01,60,24.0,14.0,"['Программирование', 'Математика', 'Python', 'D']",D std.ndslice как замена Python Numpy,"10,5k"
892,lamerman,303,34.0,36.0,['Python'],Пишем shell скрипты на Python и можно ли заменить им Bash,"64,1k"
893,Terras,69,14.0,,"['Python', 'PostgreSQL', 'Django']",Установка Django-проекта на VPS (centOS 7) [Для новичков],"13,3k"
894,aborche,62,5.0,8.0,"['Реверс-инжиниринг', 'Информационная безопасность', 'Алгоритмы', 'Python']",Реверс протокола СКУД RS485 от Perco. Берегите линии своих СКУД от вторжения,"12,3k"
895,Monnoroch,90,3.0,17.0,"['Программирование', 'Обработка изображений', 'Python', 'Data Mining', 'Big Data']",Глубокое обучение в гараже — Возвращение смайлов,"12,1k"
896,Monnoroch,150,16.0,22.0,"['Программирование', 'Обработка изображений', 'Алгоритмы', 'Python', 'Data Mining']",Глубокое обучение в гараже — Две сети,"16,7k"
897,Alex10,172,5.0,26.0,"['WebGL', 'Python', 'NoSQL', 'JavaScript', 'HTML']","Многопользовательский онлайн-шутер на WebGL и asyncio, часть вторая","18,8k"
898,Monnoroch,192,12.0,24.0,"['Программирование', 'Python', 'GPGPU', 'Data Mining', 'Big Data']",Глубокое обучение в гараже — Братство данных,"23,8k"
899,un1t,192,28.0,22.0,"['Python', 'Data Mining']","Сравниваем цены в книжных интернет магазинах c помощью python, pandas и matplotlib","23,5k"
900,vladkozlovski,477,78.0,33.0,"['Разработка мобильных приложений', 'Разработка веб-сайтов', 'Программирование', 'Python', 'MongoDB']",Полноценный REST API для перфекционистов за 5 минут,"95,3k"
901,alexkuku,269,11.0,36.0,['Python'],Мониторинг выполнения задач в IPython Notebook,"22,8k"
902,Arseny_Info,121,2.0,9.0,['Python'],Ускорение Python-скриптов без приложения умственных усилий,"17,5k"
903,itmo,944,16.0,27.0,"['Разработка веб-сайтов', 'Профессиональная литература', 'Машинное обучение', 'Python', 'Блог компании Университет ИТМО']",Подборка: Более 70 источников по машинному обучению для начинающих,"85,1k"
904,RELAXART,103,16.0,10.0,['Python'],Импорт словаря в Lingualeo.com,"14,9k"
905,ph_piter,154,19.0,18.0,"['Профессиональная литература', 'Python', 'Блог компании Издательский дом «Питер»']",Книга «Hello World! Занимательное программирование»,"30,1k"
906,WarmongeR,8,1.0,5.0,"['Тестирование IT-систем', 'Программирование', 'Разработка веб-сайтов', 'Python']",PyNSK #6 — шестая встреча Новосибирского Python сообщества,"3,4k"
907,khmelkoff,94,31.0,14.0,"['Реверс-инжиниринг', 'Разработка для интернета вещей', 'Python']",Контроль над браслетом в ритме BlueZ,"25,5k"
908,gmlexx,42,3.0,18.0,"['Разработка под Linux', 'Python', 'Go', 'Блог компании Контур']",Moira: Realtime Alerting,"11,3k"
909,redlinelm,155,17.0,13.0,"['Машинное обучение', 'Python', 'Matlab']",Машинное обучение от Octave\Matlab к Python,"17,7k"
910,itinvest,90,4.0,12.0,"['Разработка веб-сайтов', 'Программирование', 'Python', 'Блог компании ITI Capital']",How-to: Объектно-ориентированная система бэктестинга на Python,"10,9k"
911,Roman_Kh,95,3.0,20.0,"['Машинное обучение', 'Python', 'Data Mining', 'Big Data']",TensorFlow и логистическая регрессия,"13,9k"
912,yorko,423,65.0,50.0,"['Программирование', 'Математика', 'Занимательные задачки', 'Python']",Python и красивые ножки: как я бы знакомил сына с математикой и программированием,"90,7k"
913,drafterleo,118,44.0,25.0,"['Семантика', 'Python']",Пирожки в дистрибутивной семантике,"16,3k"
914,merovinh,36,1.0,7.0,"['Тестирование IT-систем', 'Python', 'Блог компании Инфопульс Украина']",Использование SikuliX в фоновом режиме на Cloud9,"6,9k"
915,kAIST,402,75.0,66.0,"['Разработка под Linux', 'Обработка изображений', 'Python']",Linux в кармане — на службе у фотографа,"42,3k"
916,m31,65,21.0,22.0,"['Высокая производительность', 'Python', 'C++', 'Big Data', 'Блог компании FlyElephant']","FlyElephant как инструмент для вычислений на C++, R, Python или Octave","10,4k"
917,yaak,99,24.0,7.0,"['Python', 'GitHub']",Зачем и как мы бэкапим github,"15,5k"
918,FlashHaos,157,11.0,3.0,"['Разработка веб-сайтов', 'Python']",Проектирование простых приложений в Flask,22k
919,NIX_Solutions,57,3.0,8.0,"['Программирование', 'Python', 'Django', 'Блог компании NIX Solutions']",Мой подход к Class Based Views,"7,2k"
920,mitshel,107,2.0,15.0,"['Python', 'Django']",Django Single Sign-On и Microsoft Active Directory,"17,6k"
921,tibhar940,87,6.0,13.0,['Python'],"График счастья с python, pandas и matplotlib","15,4k"
922,NeverWalkAloner,133,3.0,13.0,"['Криптография', 'Информационная безопасность', 'Python']",Стандарты симметричного шифрования стран СНГ на Python,"14,6k"
923,ser0t0nin,627,48.0,68.0,"['Машинное обучение', 'Python', 'Блог компании DCA (Data-Centric Alliance)']",Рекурентная нейронная сеть в 10 строчек кода оценила отзывы зрителей нового эпизода “Звездных войн”,129k
924,DieselMachine,10,5.0,27.0,"['Python', 'Open source', 'C#', '.NET', 'Блог компании PVS-Studio']",Проверяем IronPython и IronRuby с помощью PVS-Studio,"7,1k"
925,dedokOne,56,,20.0,"['SQLite', 'Python', 'NoSQL', 'Блог компании Mail.Ru Group']",Использование LSM-движка из SQLite 4 в качестве отдельной NoSQL базы данных с использованием Python,"7,4k"
926,thepurple,51,,9.0,['Python'],Автоматический запуск Libre/OpenOffice в режиме прослушивания из Python,"7,7k"
927,zelserg,98,73.0,10.0,"['Python', 'C++', 'C']",Расчет биномиальных коэффициентов на Си (С++) и Python,"22,8k"
928,bigbes,198,6.0,20.0,"['Регулярные выражения', 'Программирование', 'Python', 'Блог компании Mail.Ru Group']",Незаметные достоинства регулярных выражений в Python,"23,4k"
929,alexkuku,155,31.0,43.0,"['Функциональное программирование', 'Программирование', 'Python']",Решение головоломки Галакуб на Питоне,"27,3k"
930,egaxegax,38,6.0,,"['Разработка веб-сайтов', 'Python', 'Google App Engine', 'Django']",Разработка сайта на платформе Django-nonrel,8k
931,Roman_Kh,122,14.0,20.0,"['Python', 'Data Mining', 'Big Data']",Numpy и многопроцессорность,"14,8k"
932,MzMz,242,6.0,29.0,"['Спортивное программирование', 'Программирование', 'Машинное обучение', 'Python']",Kaggle и Titanic — еще одно решение задачи с помощью Python,"46,3k"
933,kazenniy,168,26.0,30.0,"['Разработка под Linux', 'Python']",Прямой доступ к диску из python,"21,8k"
934,nastezh,16,1.0,7.0,"['Разработка веб-сайтов', 'Python', 'Блог компании #tceh']",Moscow Python Meetup №31,"6,2k"
935,SLY_G,280,24.0,25.0,"['Математика', 'Алгоритмы', 'Python']",Умножение по методу русских крестьян,"46,4k"
936,grafalex,85,4.0,15.0,"['Тестирование IT-систем', 'Python', 'C++']","Python->Cython->C++, да и COM в придачу: написание фреймворка для автотестов","11,7k"
937,viatoriche,48,12.0,4.0,"['Twisted', 'Python', 'Django']","Синхронный код в асинхронном Twisted, или сказ о том, как скрестить ежа с ужом",7k
938,chechevatov,61,8.0,4.0,"['Машинное обучение', 'Python']",Сборка XGBoost для Python под Windows,"19,6k"
939,PerfectDay,74,,8.0,"['Программирование', 'Python']",Selenium для Python. Глава 6. Объекты Страницы,15k
940,griganton,181,9.0,26.0,['Python'],Парсинг формул в 50 строк на Python,"23,9k"
941,sergeypid,93,,7.0,"['Программирование', 'SQL', 'Python', 'NoSQL', 'Data Mining']",Изучаем граф-ориентированную СУБД Neo4j на примере лексической базы Wordnet,"14,8k"
942,InspiredByData,218,20.0,20.0,"['Вконтакте API', 'Python', 'Data Mining']",Проверка теории шести рукопожатий,"41,7k"
943,thepurple,125,2.0,10.0,['Python'],"PyOOCalc — Библиотека для генерации отчетов, счетов Libre/Open Office Calc на Python","10,8k"
944,PerfectDay,108,8.0,13.0,"['Программирование', 'Python']",Selenium для Python. Глава 5. Ожидания,26k
945,gmixo,49,,17.0,['Python'],Как я отлаживал python httplib и httplib2,"7,3k"
946,medvedGrizli,123,11.0,13.0,"['Программирование', 'Python']",Внутреннее устройство Python list,"14,9k"
947,werevolff,234,49.0,13.0,"['Программирование', 'Python', 'Django']",Поднимаем сложный проект на Django с использованием Docker,"35,9k"
948,Wargaming,33,,12.0,"['Python', 'Блог компании Wargaming']",Python Meetup октябрь: Deliberate Practice и десктоп-приложения на Penta.by,"4,7k"
949,livid_hour,103,10.0,6.0,['Python'],Простой метапоисковый алгоритм на Python,"11,1k"
950,SLY_G,308,5.0,23.0,"['Программирование', 'Алгоритмы', 'Python']","Нейросеть на Python, часть 2: градиентный спуск","33,7k"
951,tataraidze,78,9.0,16.0,"['Обработка изображений', 'Python']",Калибровка Kinect v2 с помощью OpenCV на Python,15k
952,kesn,39,17.0,10.0,"['Python', 'Django']",Django: Как быстро получить ненужные дубликаты в простом QuerySet,"5,6k"
953,enmk,83,57.0,24.0,"['Программирование', 'Python', 'Разработка игр', 'Блог компании Wargaming']",История одной оптимизации: передача и обработка результатов боя,"24,6k"
954,alTus,30,11.0,21.0,"['Python', 'Django']",Релиз Django 1.9,"12,3k"
955,WarmongeR,9,,7.0,"['Функциональное программирование', 'Программирование', 'Разработка веб-сайтов', 'Python']",PyNSK #5 — пятая встреча Новосибирского Python сообщества,"2,8k"
956,alekseyspb,54,4.0,10.0,"['Python', 'Open source']",Библиотека Python 3 для подключения к ЕСИА — esia-connector,"8,6k"
957,WarmongeR,149,4.0,18.0,"['Программирование', 'Python']",PythonDigest — выпуск номер 100 и другие замечательные новости,"11,5k"
958,AloneCoder,102,30.0,15.0,"['Разработка веб-сайтов', 'Программирование', 'Python', 'Django', 'Блог компании Mail.Ru Group']",Нам нужны не столь мощные языки программирования,31k
959,shveenkov,86,14.0,30.0,"['Python', 'Блог компании Mail.Ru Group']","Asyncio Tarantool Queue, вставай в очередь","13,9k"
960,SLY_G,787,15.0,41.0,"['Программирование', 'Машинное обучение', 'Алгоритмы', 'Python']",Нейросеть в 11 строчек на Python,198k
961,Meklon,81,45.0,29.0,"['Обработка изображений', 'Алгоритмы', 'Python', 'Open source']",Хроники лаборатории: как мы молотый кофе считали софтом для анализа клеточных структур,"14,3k"
962,GeekBrains,52,1.0,8.0,"['Тестирование IT-систем', 'Ruby', 'Python', 'JavaScript', 'Блог компании GeekBrains']","Итоги GeekWeek. Как трудоустроиться, на чем разрабатывать и какие системы использовать","14,5k"
963,ph_piter,120,62.0,21.0,"['Программирование', 'Python', 'C', 'Блог компании Издательский дом «Питер»']",Копают только вниз,31k
964,leremin,44,,8.0,['Python'],Скачивание треков с Autotravel.ru,"4,4k"
965,Gen1us2k,36,6.0,10.0,"['Ruby', 'Python', 'Node.JS', 'Django']",HighLoad++ 2015 глазами иностранного докладчика,"7,8k"
966,ebt,106,2.0,12.0,"['Семантика', 'Визуализация данных', 'Алгоритмы', 'Python', 'Data Mining']",Семантические технологии просто и доступно на примере родословных,"11,7k"
967,Alex10,123,22.0,18.0,"['Python', 'NoSQL', 'MongoDB']",Асинхронный Python 3.5 и Mongodb,"23,4k"
968,WarmongeR,10,2.0,7.0,"['Программирование', 'Разработка веб-сайтов', 'Python']",PyNSK #4 — четвертая встреча Новосибирского Python сообщества,"4,6k"
969,yorko,559,11.0,22.0,"['Программирование', 'Машинное обучение', 'Python']",Некоторые репозитории в помощь изучающим и преподающим Python и машинное обучение,"47,5k"
970,ol_x,330,64.0,15.0,"['Python', 'C++']",Бюджетная рассылка СМС,"42,8k"
971,moden,37,2.0,8.0,"['Разработка под Windows', 'Тестирование IT-систем', 'Программирование', 'Python', 'Open source']",SWAPY с новым генератором кода,"8,1k"
972,itinvest,78,3.0,12.0,"['Разработка веб-сайтов', 'Python', 'Блог компании ITI Capital']",Событийно-ориентированный бэктестинг на Python шаг за шагом. Часть 5 (и последняя),"8,3k"
973,Hebe,46,2.0,8.0,"['Машинное обучение', 'Python', 'Microsoft Azure']",Решение задачи кредитного скоринга в студии Microsoft Azure Machine Learning,"7,9k"
974,Wargaming,50,,9.0,"['Высокая производительность', 'Разработка веб-сайтов', 'Python', 'Open source', 'Блог компании Wargaming']",Python Meetup 25.09.2015: мониторинг производительности и использование BDD,"6,1k"
975,AlexeySanko,234,9.0,20.0,"['Тестирование IT-систем', 'Python']",PyTest,"76,2k"
976,random1st,37,5.0,9.0,"['Python', 'Amazon Web Services']",Как подружить AWS Lambda и PostgreSQL,"8,5k"
977,ketrin7,429,6.0,11.0,['Python'],10 приложений для изучения Python на Android-устройствах,"93,8k"
978,GDApsy,207,29.0,23.0,"['Python', 'Django']",Celery: лучшие практики,"50,7k"
979,lars_fox,79,,,['Python'],Создание .exe файла для авторизации и взаимодействия с VK API при помощи Python,"8,3k"
980,shulyndina,150,7.0,24.0,"['Программирование', 'Python', 'Django', 'Блог компании IT-People']",PYCON RUSSIA-2015: видео и презентации докладов,"15,1k"
981,kyzia,351,24.0,7.0,"['Python', 'JavaScript']",Сервис для системного администратора. Часть 1,35k
982,limitium,71,13.0,7.0,"['Python', 'Microsoft Azure', 'Big Data']","Big data, билайн и кококо","30,2k"
983,SemperPeritus,130,8.0,7.0,['Python'],Удалённое исполнение системных команд по запросу через сокеты на Python 3. Часть 2. Протокол передачи данных,"13,3k"
