,Author,Bookmarks,Comments,Post stats,Tags,Title,Views
254,frostspb,20,6.0,3.0,['Python'],Torskel — упрощаем рутину в Tornado,"1,7k"
255,pehat,205,10.0,65.0,"['Разработка игр', 'Работа с векторной графикой', 'Графический дизайн', 'Python']",Шум Перлина,"21,2k"
256,krubinshteyn,99,5.0,12.0,"['Машинное обучение', 'Алгоритмы', 'Python', 'Help Desk Software', 'Блог компании Okdesk']",Машинное обучение своими руками (часть 2). Сервис для классификации обращений в тех. поддержку,"6,8k"
257,maxpy,69,4.0,16.0,"['Читальный зал', 'Учебный процесс в IT', 'Python']","Pygest #18. Релизы, статьи, интересные проекты, пакеты и библиотеки из мира Python [5 ноября 2017 — 15 ноября 2017]","8,9k"
258,Scorobey,61,1.0,10.0,"['Разработка под Windows', 'Математика', 'Анализ и проектирование систем', 'Python']",Автоколебания и резонанс,"7,8k"
259,digitman,86,66.0,24.0,"['Машинное обучение', 'Визуализация данных', 'Python', 'Data Mining']",Классификация на гуманитариев и технарей по комментариям в VK,"21,7k"
260,Di3go,45,,6.0,['Python'],Синтаксический анализ в NLTK. Продолжение,"3,1k"
261,m1rko,64,5.0,11.0,"['Компиляторы', 'Python', 'C', 'Assembler', '*nix']",Пишем x86-64 JIT-комплятор с нуля в стоковом Python,"7,2k"
262,VikSam,135,20.0,11.0,['Python'],Как программно управлять WiFi маршрутизатором TP-Link с помощью Python requests,"14,5k"
263,AivanF,34,4.0,3.0,"['Веб-аналитика', 'Аналитика мобильных приложений', 'Анализ и проектирование систем', 'Python', 'MySQL']",Руководство к созданию собственного когортного отчёта по возвратности,"3,3k"
264,microcoder,69,11.0,9.0,"['Разработка под Linux', 'Программирование', 'Виртуализация', 'Visual Studio', 'Python']",Запуск/отладка Python скриптов в контейнерах LXC/LXD из под VS Code,"5,6k"
265,lepism,102,8.0,6.0,"['Python', 'Open source', 'Django']",Как быстро настроить email-аутентификацию в Django,"6,3k"
266,Kurvivor19,42,28.0,9.0,"['Python', 'Lisp']",Генерация кода на Python при помощи Hy,13k
267,Scorobey,115,7.0,5.0,"['Разработка под Windows', 'Математика', 'Бизнес-модели', 'Python']",Оптимизация портфеля ценных бумаг средствами Python,10k
268,esemi,61,24.0,6.0,"['Визуализация данных', 'Python', 'Блог компании SEMrush']",«Рок это жёстко» или я.музыка как граф,8k
269,jackmas,47,,8.0,"['SCADA', 'Python']",ScadaPy — использование OPC UA,"6,4k"
270,CrocodeInc,26,,1.0,"['Машинное обучение', 'Python']",Предсказание связей в социальных сетях: используем точки перехода,2k
271,dinartal,77,6.0,11.0,['Python'],Народный мониторинг ESP8266 MQTT Micropython,"8,8k"
272,Insaned,373,52.0,25.0,"['Системы обмена сообщениями', 'Разработка для интернета вещей', 'Python']",Телеграм-бот для домашнего видео-наблюдения из подручных материалов,"36,5k"
273,Antorix,134,7.0,16.0,"['Разработка под Android', 'Python']",Пишем список дел на Python 3 для Android через QPython3 и SL4A,"14,5k"
274,SanDark7,8,,4.0,"['Python', 'Блог компании Rambler Group']",Анонс Moscow Python Meetup #50,"1,4k"
275,SanDark7,5,1.0,6.0,"['Машинное обучение', 'Scala', 'Python', 'Big Data', 'Блог компании Rambler Group']",Анонс Moscow Spark #3,"1,5k"
276,Scorobey,75,9.0,7.0,"['Математика', 'Бизнес-модели', 'Анализ и проектирование систем', 'Python']",Математическая модель динамики финансового рынка,"6,2k"
277,DenisN03,109,21.0,18.0,"['Работа с видео', 'Обработка изображений', 'Python']",Убираем радиальное искажение с фото и видео при помощи библиотеки openCV и языка python,"13,1k"
278,born_2fuck,53,16.0,11.0,"['Визуализация данных', 'Python', 'Big Data']",Хронология уровня CO в атмосфере США (решение задачи Kaggle с помощью Python+Feature Engineering),"5,9k"
279,Di3go,55,1.0,14.0,['Python'],Синтаксический анализ в NLTK,5k
280,Scorobey,40,8.0,4.0,"['Разработка под Windows', 'Математика', 'Python']",Математическая модель вибрационного уровнемера с резонатором в виде консольной эллиптической трубки,"3,2k"
281,Ash666,29,10.0,1.0,"['Python', 'PostgreSQL', 'Open source', 'Git']",Мониторинг событий git clone и git push на локальном GitLab сервере,"2,6k"
282,hatman,299,255.0,43.0,['Python'],Где перспективно и адекватно использовать Python,"50,9k"
283,Dirac,623,43.0,33.0,"['Программирование', 'Машинное обучение', 'Алгоритмы', 'Python', 'Data Mining']",Краткий курс машинного обучения или как создать нейронную сеть для решения скоринг задачи,"63,9k"
284,GKM,48,11.0,15.0,"['Компиляторы', 'Python', 'C++', 'C', 'API']","Введение в Beautiful Capi, инструмент создания С++ оберток для С++ библиотек","5,1k"
285,BosonBeard,67,23.0,4.0,"['Открытые данные', 'Машинное обучение', 'Занимательные задачки', 'Python']",«4 свадьбы и одни похороны» или линейная регрессия для анализа открытых данных правительства Москвы,10k
286,Anisov,51,14.0,10.0,"['Python', 'Django']",Расширяем и используем Flatpages в Django. Встраиваем CKEditor,"4,3k"
287,Nautics889,56,9.0,6.0,"['Графические оболочки', 'Python']",Пишем простой счётчик уникальных слов на Python с GUI на Tkinter,"10,3k"
288,a-pichugin,73,13.0,7.0,"['Машинное обучение', 'Python', 'Data Mining', 'Big Data', 'Блог компании New Professions Lab']",“Без data engineer-а ценность модели аналитика стремится к нулю” — интервью с дата инженером Николаем Марковым,"9,4k"
289,Scorobey,38,6.0,9.0,"['Разработка под Windows', 'Математика', 'Анализ и проектирование систем', 'Python']",Определение устойчивости систем автоматического управления промышленными роботами,"6,3k"
290,m1rko,318,35.0,37.0,"['Совершенный код', 'Программирование', 'Отладка', 'Python']",Code review по-человечески (часть 1),"44,6k"
291,saluev,71,,17.0,"['Программирование', 'Python']",Руководство по созданию расширений для Jinja2,4k
292,diana_heng,102,29.0,8.0,['Python'],"5 причин, по которым Python достаточно мощный для Google","19,4k"
293,eyeofhell,8,,18.0,"['Разработка веб-сайтов', 'Программирование', 'Python', 'Блог компании Voximplant']",До конференции Moscow Python осталось два дня. Что интересного в программе?,"2,9k"
294,Di3go,50,4.0,9.0,['Python'],Сравнение и создание морфологических анализаторов в NLTK,5k
295,Scorobey,55,3.0,8.0,"['Разработка под Windows', 'Математика', 'Python']",Символьное решение задач нелинейного программирования,"4,9k"
296,jackmas,25,,12.0,['Python'],ScadaPy возможности применения modbus протокола,3k
297,Maria_Maria_Maria,80,8.0,11.0,"['Семантика', 'Машинное обучение', 'Python']",Русскоязычный чат-бот Boltoon: создаем виртуального собеседника,"11,7k"
298,sshmakov,46,6.0,7.0,"['Машинное обучение', 'Qt', 'Python']","Цветы, муха и хорошо отрепетированное случайное машинное обучение","5,2k"
299,Jarvis7,103,29.0,24.0,"['Информационная безопасность', 'Python', 'PHP', 'JavaScript', 'API']",История взлома всех игр в Telegram,"36,4k"
300,rafinirovannoe,54,122.0,64.0,"['Разработка веб-сайтов', 'Python', 'PHP', 'Go', 'Блог компании Avito']",AMA. Avito. Backend,"19,2k"
301,Takagi,136,18.0,29.0,"['Машинное обучение', 'Python']",Как научить свою нейросеть анализировать морфологию,"10,9k"
302,digitman,41,,6.0,"['Программирование', 'Алгоритмы', 'Python']",Jupyter Widgets для реализации UI машины Тьюринга,"3,3k"
303,snovvcrash,103,3.0,41.0,"['Математика', 'Криптография', 'Информационная безопасность', 'Python']",Ломаем модифицированный AES-256,"19,6k"
304,MaxRokatansky,43,3.0,8.0,"['Python', 'Big Data', 'Блог компании Отус']",Обзор фреймворка Luigi для построения последовательностей выполнения задач,"4,3k"
305,rafinirovannoe,31,5.0,22.0,"['Разработка веб-сайтов', 'Python', 'PHP', 'Go', 'Блог компании Avito']","AMA, или спроси бэкендера из Avito: анонс","6,8k"
306,Scorobey,69,,8.0,"['Разработка под Windows', 'Математика', 'Python']",Расширение аналитических возможностей метода линейного программирования средствами Python,"3,8k"
307,jackmas,73,10.0,14.0,['Python'],Простая Scada на Python и Arduino,"11,7k"
308,ph_piter,169,20.0,18.0,"['Профессиональная литература', 'Машинное обучение', 'Python', 'Data Mining', 'Блог компании Издательский дом «Питер»']",Книга «Python для сложных задач: наука о данных и машинное обучение»,"22,8k"
309,marat_ab,71,10.0,13.0,['Python'],Книга «Python. unittest»,"6,1k"
310,AmberSP,106,17.0,22.0,['Python'],Как получать оповещения от Jupyter notebook в Telegram?,"8,9k"
311,jackmas,42,,8.0,['Python'],Простая Scada на Python (продолжение),"5,1k"
312,Ryder95,138,39.0,26.0,"['Python', 'API']","Что делать, если Instagram не дал доступ к API? Дополнение","23,5k"
313,Scorobey,53,5.0,5.0,"['Разработка под Windows', 'Математика', 'Python']",Математическая модель жидкостного тахометра на Python,"6,1k"
314,sshmakov,117,15.0,7.0,"['Машинное обучение', 'Qt', 'Python']",Как отличать птиц от цветов. Или цветы от птиц,"11,6k"
315,PavelGonchar,21,13.0,1.0,"['Scala', 'R', 'Python', 'Microsoft Azure']",Снизить косты? Easy,"5,8k"
316,yuryemeliyanov,66,24.0,23.0,"['SQL', 'Python', 'Open source', 'Big Data', 'Блог компании Mail.Ru Group']","Airflow — инструмент, чтобы удобно и быстро разрабатывать и поддерживать batch-процессы обработки данных",11k
317,arcan1s,47,9.0,5.0,"['Python', 'Блог компании EXANTE']",Торговый робот для веб-дизайнеров,"4,8k"
318,tumbler,56,25.0,9.0,"['Python', 'Django']",Django ORM — медленный? Оптимизируем (хардкорно),8k
319,nanton,344,9.0,22.0,"['Платежные системы', 'Криптография', 'Python', 'Блог компании Everyday Tools']",Изучаем блокчейн на практике,"44,3k"
320,Ryder95,70,29.0,,"['ООП', 'Ненормальное программирование', 'Python']","Зачем мне гибкость Python, если мне запрещают ей пользоваться?","13,5k"
321,conformist,42,11.0,8.0,['Python'],Английские субтитры с Лео,"6,6k"
322,dmytrostriletskyi,23,4.0,7.0,"['Python', 'Open source', 'GitHub', 'API']",Submit the cool project: свой API-client с одного конфигурационного файла,"2,2k"
323,Nautics889,54,10.0,1.0,['Python'],"Пишем генератор ip-адресов на Python со свистелками, дуделками и графической оболочкой Tkinter","5,7k"
324,jackmas,91,7.0,17.0,['Python'],Простая Scada на Python,"10,3k"
325,nllm,70,8.0,13.0,"['Системы обмена сообщениями', 'Разработка под e-commerce', 'Программирование', 'Python']",Изменился способ создания чат-ботов в Viber,23k
326,Scorobey,135,2.0,6.0,"['Разработка под Windows', 'Промышленное программирование', 'Python']",Веб-сервер — ваша первая сетевая программа Arduino,"18,3k"
327,adel-s,52,9.0,10.0,"['Разработка веб-сайтов', 'Программирование', 'jQuery', 'Python', 'JavaScript']",Свой сервер обложек на Python для интернет-радио,"5,9k"
328,Scorobey,106,1.0,6.0,"['Разработка под Windows', 'Математика', 'Python']",О классификации методов преобразования Фурье на примерах их программной реализации средствами Python,"7,5k"
329,fall_out_bug,145,43.0,57.0,"['Геоинформационные сервисы', 'Визуализация данных', 'Python', 'Data Mining', 'Блог компании Open Data Science']",Визуализация результатов выборов в Москве на карте в Jupyter Notebook,"18,1k"
330,saipr,87,51.0,10.0,"['Разработка под Linux', 'Информационная безопасность', 'Графические оболочки', 'Python', 'Open source']",Есть ли OpenVPN GUI для Linux?,"18,2k"
331,Scorobey,102,2.0,8.0,"['Разработка под Windows', 'Промышленное программирование', 'Python']",Прототипирование в среде Python-Arduino,"11,1k"
332,sshmakov,29,,2.0,"['Qt', 'Python']",Режем XML по разметке XQuery,"2,6k"
333,temakone,89,17.0,61.0,"['Обработка изображений', 'Машинное обучение', 'Алгоритмы', 'Python', 'Блог компании Open Data Science']",Kaggle: как наши сеточки считали морских львов на Алеутских островах,"17,6k"
334,BosonBeard,59,5.0,5.0,"['Машинное обучение', 'Python', 'Data Mining']","«Используй Силу машинного обучения, Люк!» или автоматическая классификация светильников по КСС","4,4k"
335,RafGbd,71,6.0,13.0,"['Python', 'Django']",И снова о кешировании в Django,"5,2k"
336,Scorobey,62,2.0,5.0,"['Разработка под Windows', 'Промышленное программирование', 'Python']","Методы разработки потока программного обеспечения датчиков движения, работающих с Arduino","5,9k"
337,alexmikh,67,7.0,4.0,"['Python', 'Data Mining']",Анализируем требования рынка для data scientist,"8,4k"
338,l4l,96,207.0,80.0,"['Системное программирование', 'Программирование', 'Python', 'C']",О-о-очень долгожданный релиз Sublime Text 3.0,"68,3k"
339,nkmakarov,170,38.0,45.0,"['Python', 'Java', 'C++', 'C#', 'Блог компании Яндекс']","Яндекс.Блиц. Почему и какие алгоритмические задачи нужно уметь решать, работая в поиске","32,6k"
340,krubinshteyn,114,24.0,14.0,"['Машинное обучение', 'Алгоритмы', 'SaaS / S+S', 'Python', 'Блог компании Okdesk']",Машинное обучение руками «не программиста»: классификация клиентских заявок в тех.поддержку (часть 1),"15,4k"
341,mephistopheies,147,22.0,58.0,"['Обработка изображений', 'Машинное обучение', 'Алгоритмы', 'Python', 'Блог компании Open Data Science']",Сегментация лица на селфи без нейросетей,"15,6k"
342,andrewnester,52,1.0,17.0,"['Разработка веб-сайтов', 'Программирование', 'Машинное обучение', 'Python', 'Django']","Pygest #17. Релизы, статьи, интересные проекты из мира Python [29 августа 2017 — 11 сентября 2017]","9,4k"
343,Xirexel,38,,16.0,"['Python', 'C++', 'C#']",CaptureManager SDK,"3,9k"
344,Scorobey,104,2.0,9.0,"['Разработка под Windows', 'Промышленное программирование', 'Python']","Использование Python для обработки в реальном масштабе времени информации от датчиков, работающих с Arduino","8,8k"
345,justwack,112,7.0,12.0,"['Программирование', 'ООП', 'Python']","Итерируемый объект, итератор и генератор","21,1k"
346,TyVik,232,10.0,20.0,['Python'],AsyncIO для практикующего python-разработчика,"45,5k"
347,AloneCoder,382,47.0,54.0,"['Ненормальное программирование', 'Занимательные задачки', 'Python', 'IT-стандарты', 'Блог компании Mail.Ru Group']","Что за чёрт, Python","67,3k"
348,noonv,59,10.0,16.0,"['Машинное обучение', 'Python']",Учим робота готовить пиццу. Часть 2: Состязание нейронных сетей,"5,2k"
349,achertok,131,16.0,25.0,"['Программирование', 'Машинное обучение', 'Алгоритмы', 'Python', 'Блог компании Сбербанк']",ИИ для покера: как научить алгоритмы блефовать,"18,3k"
350,telezhnaya,44,48.0,11.0,"['Программирование', 'Машинное обучение', 'Python', 'Блог компании Microsoft']","Как создать расистский ИИ, даже не пытаясь. Часть 2","7,2k"
351,zarytskiy,103,68.0,7.0,"['Программирование', 'R', 'Python', 'Data Mining', 'Big Data']",Какой язык программирования выбрать для работы с данными?,23k
352,Olga_ol,160,38.0,36.0,"['Программирование', 'Python', 'Блог компании Mail.Ru Group']",Новости онлайн-курсов Mail.Ru Group: «Программирование на Python»,"29,3k"
353,Tully,70,2.0,11.0,"['Python', 'Блог компании Отус']",Тестируем асинхронный код с помощью PyTest (перевод),"5,3k"
354,devpony,282,19.0,62.0,"['Программирование', 'Машинное обучение', 'Python']",PyTorch — ваш новый фреймворк глубокого обучения,"30,8k"
355,BosonBeard,64,2.0,8.0,"['Машинное обучение', 'Python', 'Data Mining']",“Восстание МашинLearning” или совмещаем хобби по Data Science и анализу спектров лампочек,"6,8k"
356,sshmakov,72,4.0,9.0,"['Qt', 'Python']","Лепим тулбар на PyQt, экспортируем данные в Excel и HTML","6,2k"
357,Darkzenon,38,28.0,22.0,['Python'],Оптимизация процесса поиска нарушителей земельного законодательства,"7,6k"
358,Scorobey,60,,,"['Разработка под Windows', 'Математика', 'Python']",Простые модели экономической динамики на Python,"3,6k"
359,dmagin,40,4.0,18.0,"['Математика', 'Python']",Спектроскоп-калейдоскоп,"5,1k"
360,alec_kalinin,133,38.0,33.0,['Python'],Быстрый тест производительности Python для вычислительных задач,"10,1k"
361,dmytrostriletskyi,12,1.0,3.0,"['Python', 'Open source', 'GitHub']",Submit the cool project: библиотека-костяк utbone для юнит-тестирования,"1,1k"
362,andrewnester,56,,12.0,"['Разработка веб-сайтов', 'Программирование', 'Машинное обучение', 'Python', 'Django']","Pygest #16. Релизы, статьи, интересные проекты из мира Python [15 августа 2017 — 28 августа 2017]","8,7k"
363,Scorobey,58,3.0,14.0,"['Разработка под Windows', 'Математика', 'Python']",Решение прямой и двойственной задачи линейного программирования средствами Python,"7,5k"
364,sshmakov,123,23.0,24.0,"['Программирование', 'Qt', 'Python']",Точим себе инструмент на PyQt,"23,6k"
